id,thinklet_id,total_score
41,240311,5
178,243993,5
316,246060,5
39,240311,4
63,240323,4
109,243879,4
112,243872,4
125,243880,4
137,243872,4
138,243872,4
147,243956,4
172,243938,4
177,244012,4
181,243997,4
183,243992,4
195,243991,4
213,244053,4
223,244043,4
232,245255,4
236,245294,4
272,245272,4
306,246033,4
367,250543,4
387,250535,4
394,250581,4
402,250602,4
409,250618,4
411,250597,4
433,250593,4
434,250589,4
435,250598,4
13,240176,3
19,240226,3
32,240260,3
37,240295,3
40,240312,3
45,240329,3
48,240352,3
56,240350,3
57,240351,3
79,243725,3
84,243715,3
90,243710,3
103,243861,3
106,243875,3
126,243871,3
152,243954,3
167,243946,3
169,243945,3
174,243996,3
185,244004,3
186,243995,3
187,243997,3
188,243992,3
189,243991,3
190,243986,3
192,244010,3
193,243999,3
196,243995,3
199,244004,3
202,244060,3
207,244047,3
209,244041,3
211,244051,3
214,244041,3
216,244046,3
219,244049,3
225,244043,3
228,245290,3
229,245290,3
230,245255,3
237,245275,3
238,245255,3
244,245259,3
249,245271,3
254,245255,3
260,245275,3
274,245290,3
277,245290,3
285,245273,3
291,245995,3
294,246018,3
304,246018,3
308,246035,3
319,246057,3
320,246060,3
324,246053,3
325,246053,3
329,246064,3
348,250500,3
370,250549,3
379,250532,3
392,250563,3
401,250582,3
415,250646,3
431,250576,3
432,250585,3
6,240171,2
7,240166,2
8,240175,2
17,240206,2
18,240209,2
23,240218,2
26,240228,2
30,240260,2
31,240259,2
33,240265,2
42,240298,2
43,240309,2
44,240300,2
49,240350,2
50,240349,2
52,240349,2
54,240347,2
55,240356,2
58,240354,2
59,240347,2
62,240346,2
69,243952,2
70,244008,2
71,243714,2
72,243729,2
75,243709,2
76,243720,2
82,243709,2
83,243710,2
87,243729,2
88,243710,2
89,243708,2
91,243711,2
95,243726,2
96,243717,2
97,243717,2
98,243886,2
100,243875,2
104,243866,2
105,243871,2
108,243874,2
110,243871,2
111,243879,2
113,243873,2
115,243871,2
116,243872,2
119,243886,2
121,243863,2
122,243882,2
123,243881,2
124,243886,2
127,243874,2
130,243885,2
131,243868,2
132,243886,2
134,243879,2
140,243945,2
141,243944,2
142,243948,2
143,243954,2
144,243936,2
146,243940,2
148,243939,2
149,243945,2
153,243936,2
